robotx,roboty,desiredx,desiredy
4.715021133422852,3.5711722373962402,4.2738512,3.5
4.715005397796631,3.5711915493011475,4.2738512,3.5
4.7137017250061035,3.5793614387512207,4.2738512,3.5
4.714106559753418,3.5811924934387207,4.2738512,3.5
4.714106559753418,3.5811924934387207,4.2738512,3.5
4.714106559753418,3.5811924934387207,4.2738512,3.5
4.714106559753418,3.5811924934387207,4.2738512,3.5
4.745120525360107,3.6122536659240723,4.2738512,3.5
4.789921283721924,3.628453016281128,4.2738512,3.5
4.800852298736572,3.626567840576172,4.2738512,3.5
4.813187122344971,3.6194369792938232,4.2738512,3.5
4.814491271972656,3.6044981479644775,4.2738512,3.5
4.807649612426758,3.5960049629211426,4.2738512,3.5
4.807649612426758,3.5960049629211426,4.2738512,3.5
4.781094551086426,3.579761266708374,4.2738512,3.5
4.7594895362854,3.5739965438842773,4.2738512,3.5
4.697100639343262,3.564725160598755,4.2738512,3.5
4.697100639343262,3.564725160598755,4.2738512,3.5
4.697100639343262,3.564725160598755,4.2738512,3.5
4.512058258056641,3.534672975540161,4.0335926,3.5
4.468695640563965,3.5263009071350098,4.0335926,3.5
4.4274139404296875,3.5179436206817627,3.9473968000000004,3.5
4.379053115844727,3.509049654006958,3.9473968000000004,3.5
4.338358402252197,3.5016984939575195,3.8583122000000003,3.5
4.288415431976318,3.4913933277130127,3.8583122000000003,3.5
4.271014213562012,3.487913131713867,3.8583122000000003,3.5
4.207827091217041,3.474445343017578,3.7664384,3.5
4.156949520111084,3.4633235931396484,3.671875,3.5
4.137282848358154,3.4597392082214355,3.671875,3.5
4.114946365356445,3.4550838470458984,3.671875,3.5
4.057750701904297,3.442376136779785,3.5747216,3.5
4.025637149810791,3.435134172439575,3.5747216,3.5
3.968099355697632,3.423579216003418,3.5747216,3.5
3.916611671447754,3.4138922691345215,3.4750778,3.5
3.9072508811950684,3.4117915630340576,3.4750778,3.5
3.854464292526245,3.4018993377685547,3.3730431999999997,3.5
3.854464292526245,3.4018993377685547,3.3730431999999997,3.5
3.854464292526245,3.4018993377685547,3.3730431999999997,3.5
3.7777795791625977,3.3908114433288574,3.3730431999999997,3.5
3.7777795791625977,3.3908114433288574,3.3730431999999997,3.5
